year,postcode,yearly_thefts
2025,3081,150
2021,3082,41
2022,3082,28
2023,3082,52
2024,3082,59
2025,3082,88
2021,3083,88
2022,3083,72
2023,3083,93
2024,3083,120
2025,3083,180
2021,3084,36
2022,3084,33
2023,3084,37
2024,3084,67
2025,3084,87
2021,3085,13
2022,3085,14
2023,3085,6
2024,3085,24
2025,3085,35
2021,3087,12
2022,3087,10
2023,3087,8
2024,3087,19
2025,3087,18
2021,3088,33
2022,3088,26
2023,3088,33
2024,3088,44
2025,3088,64
2021,3089,12
2022,3089,5
2023,3089,10
2024,3089,13
2025,3089,29
2021,3090,4
2022,3090,2
2024,3090,5
2025,3090,10
2021,3091,6
2022,3091,1
2023,3091,1
2024,3091,1
2025,3091,3
2021,3093,6
2022,3093,6
2023,3093,4
2024,3093,3
2025,3093,9
2021,3094,4
2022,3094,6
2023,3094,4
2024,3094,12
2025,3094,6
2021,3095,20
2022,3095,26
2023,3095,39
2024,3095,26
2025,3095,49
2021,3096,1
2022,3096,3
2023,3096,3
2021,3097,1
2022,3097,1
2023,3097,8
2024,3097,2
2025,3097,4
2021,3099,6
2022,3099,2
2023,3099,3
2024,3099,3
2025,3099,13
2021,3101,56
2022,3101,57
2023,3101,49
2024,3101,50
2025,3101,98
2021,3102,10
2022,3102,6
2023,3102,24
2024,3102,8
2025,3102,26
2021,3103,29
2022,3103,26
2023,3103,34
2024,3103,41
2025,3103,54
2021,3104,15
2022,3104,25
2023,3104,38
2024,3104,29
2025,3104,68
2021,3105,12
2022,3105,11
2023,3105,16
2024,3105,27
2025,3105,26
2021,3106,10
2022,3106,17
2023,3106,21
2024,3106,47
2025,3106,27
2021,3107,14
2022,3107,20
2023,3107,25
2024,3107,32
2025,3107,28
2021,3108,44
2022,3108,49
2023,3108,42
2024,3108,75
2025,3108,101
2021,3109,25
2022,3109,26
2023,3109,30
2024,3109,42
2025,3109,45
2021,3111,11
2022,3111,8
2023,3111,9
2024,3111,15
2025,3111,16
2021,3113,5
2022,3113,9
2023,3113,2
2024,3113,3
2025,3113,10
2021,3114,3
2022,3114,3
2024,3114,8
2025,3114,4
2021,3115,4
2022,3115,1
2023,3115,1
2024,3115,9
2025,3115,5
2021,3116,17
2022,3116,7
2023,3116,19
2024,3116,13
2025,3116,25
2021,3121,147
2022,3121,104
2023,3121,111
2024,3121,131
2025,3121,225
2021,3122,64
2022,3122,50
2023,3122,50
2024,3122,65
2025,3122,122
2021,3123,32
2022,3123,29
2023,3123,34
2024,3123,45
2025,3123,75
2021,3124,40
2022,3124,29
2023,3124,47
2024,3124,54
2025,3124,100
2021,3125,47
2022,3125,26
2023,3125,46
2024,3125,62
2025,3125,98
2021,3126,13
2022,3126,5
2023,3126,12
2024,3126,22
2025,3126,22
2021,3127,34
2022,3127,18
2023,3127,32
2024,3127,43
2025,3127,59
2021,3128,61
2022,3128,49
2023,3128,73
2024,3128,81
2025,3128,193
2021,3129,20
2022,3129,12
2023,3129,31
2024,3129,34
2025,3129,65
2021,3130,68
2022,3130,43
2023,3130,70
2024,3130,82
2025,3130,176
2021,3131,44
2022,3131,42
2023,3131,38
2024,3131,74
2025,3131,150
2021,3132,21
2022,3132,17
2023,3132,29
2024,3132,81
2025,3132,103
2021,3133,22
2022,3133,15
2023,3133,25
2024,3133,48
2025,3133,82
2021,3134,65
2022,3134,49
2023,3134,51
2024,3134,75
2025,3134,182
2021,3135,20
2022,3135,13
2023,3135,26
2024,3135,27
2025,3135,83
2021,3136,56
2022,3136,42
2023,3136,33
2024,3136,64
2025,3136,105
2021,3137,27
2022,3137,12
2023,3137,11
2024,3137,26
2025,3137,25
2021,3138,18
2022,3138,13
2023,3138,24
2024,3138,24
2025,3138,48
2021,3139,19
2022,3139,23
2023,3139,15
2024,3139,11
2025,3139,25
2021,3140,34
2022,3140,19
2023,3140,8
2024,3140,28
2025,3140,53
2021,3141,94
2022,3141,109
2023,3141,123
2024,3141,151
2025,3141,161
2021,3142,44
2022,3142,34
2023,3142,38
2024,3142,34
2025,3142,73
2021,3143,17
2022,3143,33
2023,3143,30
2024,3143,25
2025,3143,52
2021,3144,36
2022,3144,40
2023,3144,36
2024,3144,43
2025,3144,70
2021,3145,69
2022,3145,67
2023,3145,85
2024,3145,100
2025,3145,174
2021,3146,51
2022,3146,47
2023,3146,76
2024,3146,72
2025,3146,132
2021,3147,40
2022,3147,33
2023,3147,56
2024,3147,53
2025,3147,97
2021,3148,33
2022,3148,27
2023,3148,30
2024,3148,37
2025,3148,48
2021,3149,64
2022,3149,63
2023,3149,101
2024,3149,103
2025,3149,170
2021,3150,74
2022,3150,101
2023,3150,150
2024,3150,167
2025,3150,233
2021,3151,12
2022,3151,17
2023,3151,22
2024,3151,31
2025,3151,69
2021,3152,46
2022,3152,40
2023,3152,57
2024,3152,75
2025,3152,158
2021,3153,75
2022,3153,43
2023,3153,41
2024,3153,69
2025,3153,100
2021,3154,14
2022,3154,5
2023,3154,2
2024,3154,6
2025,3154,8
2021,3155,54
2022,3155,31
2023,3155,34
2024,3155,37
2025,3155,87
2021,3156,75
2022,3156,56
2023,3156,50
2024,3156,91
2025,3156,137
2021,3158,12
2022,3158,6
2023,3158,7
2024,3158,6
2025,3158,23
2021,3159,4
2022,3159,2
2023,3159,3
2024,3159,1
2025,3159,3
2021,3160,12
2022,3160,13
2023,3160,11
2024,3160,13
2025,3160,15
2021,3161,30
2022,3161,29
2023,3161,43
2024,3161,60
2025,3161,59
2021,3162,26
2022,3162,33
2023,3162,36
2024,3162,49
2025,3162,68
2021,3163,52
2022,3163,62
2023,3163,80
2024,3163,73
2025,3163,146
2021,3165,43
2022,3165,39
2023,3165,49
2024,3165,68
2025,3165,102
2021,3166,79
2022,3166,70
2023,3166,116
2024,3166,112
2025,3166,186
2021,3167,22
2022,3167,11
2023,3167,22
2024,3167,31
2025,3167,53
2021,3168,90
2022,3168,70
2023,3168,120
2024,3168,144
2025,3168,192
2021,3169,63
2022,3169,48
2023,3169,68
2024,3169,65
2025,3169,115
2021,3170,52
2022,3170,55
2023,3170,50
2024,3170,119
2025,3170,148
2021,3171,81
2022,3171,76
2023,3171,149
2024,3171,165
2025,3171,225
2021,3172,37
2022,3172,26
2023,3172,47
2024,3172,61
2025,3172,96
2021,3173,79
2022,3173,54
2023,3173,100
2024,3173,110
2025,3173,140
2021,3174,115
2022,3174,89
2023,3174,139
2024,3174,154
2025,3174,201
2021,3175,364
2022,3175,276
2023,3175,369
2024,3175,471
2025,3175,641
2021,3177,51
2022,3177,31
2023,3177,47
2024,3177,54
2025,3177,105
2021,3178,57
2022,3178,43
2023,3178,38
2024,3178,55
2025,3178,92
2021,3179,8
2022,3179,20
2023,3179,9
2024,3179,17
2025,3179,27
2021,3180,29
2022,3180,11
2023,3180,7
2024,3180,19
2025,3180,34
2021,3181,87
2022,3181,81
2023,3181,103
2024,3181,114
2025,3181,166
2021,3182,137
2022,3182,137
2023,3182,168
2024,3182,204
2025,3182,207
2021,3183,54
2022,3183,63
2023,3183,83
2024,3183,74
2025,3183,91
2021,3184,39
2022,3184,43
2023,3184,57
2024,3184,62
2025,3184,77
2021,3185,16
2022,3185,27
2023,3185,39
2024,3185,55
2025,3185,73
2021,3186,53
2022,3186,57
2023,3186,94
2024,3186,107
2025,3186,115
2021,3187,22
2022,3187,23
2023,3187,52
2024,3187,57
2025,3187,64
2021,3188,36
2022,3188,35
2023,3188,51
2024,3188,45
2025,3188,96
2021,3189,27
2022,3189,15
2023,3189,32
2024,3189,42
2025,3189,77
2021,3190,18
2022,3190,17
2023,3190,26
2024,3190,37
2025,3190,47
2021,3191,17
2022,3191,17
2023,3191,24
2024,3191,35
2025,3191,42
2021,3192,37
2022,3192,25
2023,3192,59
2024,3192,92
2025,3192,133
2021,3193,21
2022,3193,19
2023,3193,48
2024,3193,57
2025,3193,104
2021,3194,22
2022,3194,18
2023,3194,31
2024,3194,32
2025,3194,66
2021,3195,83
2022,3195,56
2023,3195,89
2024,3195,138
2025,3195,143
2021,3196,32
2022,3196,38
2023,3196,60
2024,3196,55
2025,3196,84
2021,3197,21
2022,3197,28
2023,3197,30
2024,3197,41
2025,3197,50
2021,3198,69
2022,3198,61
2023,3198,75
2024,3198,106
2025,3198,136
2021,3199,147
2022,3199,117
2023,3199,167
2024,3199,213
2025,3199,357
2021,3200,29
2022,3200,25
2023,3200,37
2024,3200,35
2025,3200,32
2021,3201,71
2022,3201,53
2023,3201,59
2024,3201,88
2025,3201,135
2021,3202,3
2022,3202,1
2023,3202,7
2024,3202,15
2025,3202,11
2021,3204,57
2022,3204,53
2023,3204,69
2024,3204,67
2025,3204,108
2021,3205,82
2022,3205,98
2023,3205,110
2024,3205,135
2025,3205,180
2021,3206,51
2022,3206,36
2023,3206,33
2024,3206,49
2025,3206,96
2021,3207,91
2022,3207,88
2023,3207,124
2024,3207,120
2025,3207,261
2021,3211,4
2022,3211,5
2023,3211,3
2024,3211,28
2025,3211,21
2021,3212,12
2022,3212,24
2023,3212,30
2024,3212,35
2025,3212,62
2021,3213,9
2022,3213,10
2023,3213,16
2024,3213,11
2025,3213,17
2021,3214,118
2022,3214,139
2023,3214,120
2024,3214,122
2025,3214,158
2021,3215,83
2022,3215,63
2023,3215,68
2024,3215,91
2025,3215,96
2021,3216,112
2022,3216,96
2023,3216,133
2024,3216,118
2025,3216,148
2021,3217,27
2022,3217,27
2023,3217,29
2024,3217,29
2025,3217,63
2021,3218,38
2022,3218,46
2023,3218,33
2024,3218,42
2025,3218,56
2021,3219,49
2022,3219,50
2023,3219,72
2024,3219,62
2025,3219,95
2021,3220,72
2022,3220,53
2023,3220,67
2024,3220,93
2025,3220,113
2021,3221,1
2023,3221,1
2024,3221,3
2025,3221,1
2021,3222,15
2022,3222,13
2023,3222,9
2024,3222,11
2025,3222,28
2021,3223,15
2022,3223,11
2023,3223,4
2024,3223,11
2025,3223,14
2021,3224,21
2022,3224,18
2023,3224,22
2024,3224,27
2025,3224,27
2021,3225,6
2022,3225,5
2023,3225,2
2024,3225,5
2025,3225,7
2021,3226,14
2022,3226,11
2023,3226,13
2024,3226,13
2025,3226,13
2021,3227,5
2022,3227,13
2023,3227,11
2024,3227,10
2025,3227,10
2021,3228,33
2022,3228,24
2023,3228,17
2024,3228,33
2025,3228,59
2021,3230,3
2022,3230,2
2023,3230,3
2024,3230,4
2025,3230,9
2021,3231,1
2022,3231,1
2023,3231,1
2024,3231,3
2021,3232,3
2022,3232,6
2024,3232,1
2025,3232,2
2024,3233,1
2021,3237,2
2022,3237,1
2024,3238,1
2021,3239,1
2023,3239,1
2024,3239,1
2021,3240,2
2022,3240,3
2023,3240,4
2024,3240,1
2025,3240,3
2021,3241,5
2022,3241,4
2023,3241,1
2024,3241,6
2025,3241,7
2021,3242,1
2024,3242,1
2021,3243,1
2021,3249,5
2022,3249,1
2023,3249,2
2024,3249,10
2025,3249,5
2021,3250,16
2022,3250,15
2023,3250,16
2024,3250,19
2025,3250,16
2022,3251,2
2024,3251,1
2025,3251,1
2022,3254,1
2024,3254,1
2025,3254,3
2021,3260,9
2022,3260,15
2023,3260,8
2024,3260,11
2025,3260,11
2021,3264,8
2022,3264,8
2023,3264,4
2024,3264,3
2025,3264,4
2021,3265,4
2022,3265,10
2023,3265,6
2024,3265,7
2025,3265,5
2021,3266,4
2022,3266,2
2023,3266,2
2024,3266,10
2025,3266,5
2023,3267,1
2021,3268,1
2022,3268,1
2023,3268,2
2024,3268,4
2025,3268,4
2021,3269,2
2021,3270,1
2022,3270,1
2025,3270,1
2023,3271,1
2021,3272,2
2022,3272,4
2023,3272,2
2024,3272,3
2025,3272,2
2025,3273,1
2021,3274,1
2025,3275,1
2021,3277,4
2022,3277,2
2023,3277,1
2024,3277,4
2025,3277,2
2021,3278,1
2022,3278,1
2023,3278,3
2023,3279,1
2025,3279,3
2021,3280,40
2022,3280,49
2023,3280,35
2024,3280,39
2025,3280,59
2022,3281,1
2025,3281,2
2021,3282,1
2022,3282,1
2023,3282,1
2024,3282,2
2025,3282,1
2021,3283,1
2022,3283,3
2025,3283,2
2021,3284,1
2022,3284,3
2023,3284,1
2024,3284,5
2025,3284,3
2021,3285,1
2022,3285,3
2024,3285,1
2025,3285,2
2022,3286,1
2025,3287,2
2024,3289,1
2025,3289,1
2021,3292,1
2022,3292,1
2025,3292,4
2022,3293,1
2025,3293,1
2022,3294,1
2025,3294,1
2021,3300,9
2022,3300,12
2023,3300,10
2024,3300,9
2025,3300,24
2022,3301,1
2023,3301,1
2024,3301,2
2025,3301,1
2022,3302,1
2024,3302,2
2022,3304,8
2023,3304,3
2024,3304,3
2025,3304,15
2021,3305,12
2022,3305,17
2023,3305,15
2024,3305,17
2025,3305,50
2022,3310,1
2023,3310,1
2021,3311,3
2022,3311,5
2023,3311,1
2024,3311,3
2025,3311,2
2021,3312,2
2022,3312,1
2023,3312,5
2024,3312,4
2025,3312,2
2022,3314,3
2023,3314,1
2021,3315,4
2022,3315,5
2025,3315,4
2021,3317,2
2022,3318,1
2023,3318,1
2022,3319,1
2021,3321,1
2023,3321,3
2025,3321,3
2021,3322,1
2022,3322,1
2023,3322,2
2024,3322,1
2025,3322,1
2021,3323,1
2023,3323,1
2022,3324,2
2023,3324,2
2024,3324,3
2025,3324,6
2021,3325,1
2022,3325,2
2023,3325,2
2025,3325,1
2021,3328,2
2023,3328,1
2024,3328,5
2025,3328,1
2021,3329,3
2023,3329,1
2024,3329,3
2025,3329,1
2021,3330,1
2022,3330,2
2024,3330,3
2025,3330,2
2021,3331,3
2022,3331,4
2023,3331,5
2024,3331,10
2025,3331,17
2022,3332,1
2024,3332,2
2025,3332,1
2021,3333,1
2022,3333,2
2023,3333,1
2024,3333,5
2025,3333,4
2021,3334,3
2023,3334,1
2024,3334,5
2025,3334,4
2021,3335,13
2022,3335,21
2023,3335,34
2024,3335,43
2025,3335,78
2021,3336,13
2022,3336,24
2023,3336,36
2024,3336,40
2025,3336,113
2021,3337,115
2022,3337,121
2023,3337,129
2024,3337,139
2025,3337,187
2021,3338,94
2022,3338,83
2023,3338,66
2024,3338,106
2025,3338,134
2021,3340,36
2022,3340,41
2023,3340,64
2024,3340,59
2025,3340,65
2021,3341,3
2022,3341,1
2023,3341,2
2024,3341,5
2025,3341,4
2021,3342,14
2022,3342,15
2023,3342,18
2024,3342,19
2025,3342,14
2021,3345,7
2022,3345,3
2023,3345,1
2024,3345,2
2025,3345,3
2021,3350,253
2022,3350,324
2023,3350,356
2024,3350,347
2025,3350,363
2021,3351,18
2022,3351,16
2023,3351,34
2024,3351,43
2025,3351,46
2021,3352,44
2022,3352,48
2023,3352,80
2024,3352,69
2025,3352,103
2021,3355,68
2022,3355,70
2023,3355,116
2024,3355,129
2025,3355,133
2021,3356,64
2022,3356,78
2023,3356,85
2024,3356,83
2025,3356,106
2021,3357,10
2022,3357,7
2023,3357,5
2024,3357,6
2025,3357,10
2021,3358,6
2022,3358,3
2023,3358,8
2024,3358,23
2025,3358,32
2021,3360,4
2022,3360,2
2023,3360,2
2024,3360,3
2025,3360,1
2022,3361,2
2023,3361,3
2024,3361,4
2025,3361,6
2021,3363,15
2022,3363,6
2023,3363,9
2024,3363,11
2025,3363,26
2021,3364,4
2022,3364,2
2023,3364,11
2024,3364,8
2025,3364,6
2021,3370,2
2022,3370,1
2023,3370,2
2024,3370,4
2025,3370,4
2021,3371,2
2022,3371,6
2023,3371,2
2024,3371,2
2025,3371,5
2021,3373,4
2022,3373,8
2023,3373,7
2024,3373,9
2025,3373,16
2021,3374,1
2023,3374,2
2024,3374,2
2025,3374,4
2021,3375,1
2022,3375,1
2024,3375,1
2025,3375,2
2021,3377,14
2022,3377,19
2023,3377,32
2024,3377,20
2025,3377,48
2023,3378,1
2024,3378,1
2021,3379,1
2022,3379,1
2023,3379,1
2025,3379,5
2021,3380,7
2022,3380,7
2023,3380,5
2024,3380,6
2025,3380,26
2021,3381,1
2023,3381,1
2024,3381,2
2025,3381,3
2021,3384,1
2022,3384,1
2024,3384,1
2025,3384,1
2021,3385,1
2022,3385,1
2025,3385,2
2022,3387,2
2022,3388,1
2023,3388,1
2024,3388,2
2025,3388,1
