building_address,clue_small_area,parking_type,parking_spaces,longitude,latitude,location,street_address,suburb,postcode
Galleria 385 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,213,144.96292154949998,-37.81492943947073,"-37.81492943947073, 144.96292154949998",Galleria 385 Bourke Street,MELBOURNE,3000
542-546 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,373,144.95639987149858,-37.81479834825,"-37.814798348249994, 144.95639987149858",542-546 Little Bourke Street,MELBOURNE,3000
496-508 La Trobe Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Commercial,63,144.95206408956284,-37.81258098235,"-37.81258098235, 144.95206408956284",496-508 La Trobe Street WEST,MELBOURNE,3003
298-336 Victoria Parade EAST MELBOURNE VIC 3002,East Melbourne,Commercial,350,144.98225335572846,-37.80945759425,"-37.80945759425, 144.98225335572846",298-336 Victoria Parade EAST,MELBOURNE,3002
31-49 Moray Street SOUTHBANK VIC 3006,Southbank,Commercial,180,144.96140121047955,-37.8276216315,"-37.8276216315, 144.96140121047955",31-49 Moray Street,SOUTHBANK,3006
18 Hoff Boulevard SOUTHBANK VIC 3006,Southbank,Commercial,117,144.96357357795,-37.82572543353542,"-37.82572543353542, 144.96357357795",18 Hoff Boulevard,SOUTHBANK,3006
The Primrose Potter Australian Ballet Centre 2-6 Kavanagh Street SOUTHBANK VIC 3006,Southbank,Commercial,436,144.96735978465,-37.8219694093844,"-37.821969409384394, 144.96735978465",The Primrose Potter Australian Ballet Centre 2-6 Kavanagh Street,SOUTHBANK,3006
15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,300,144.9591980656,-37.81929390624698,"-37.81929390624698, 144.9591980656",15-33 William Street,MELBOURNE,3000
194-200 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,130,144.9672689638,-37.812419039991525,"-37.812419039991525, 144.9672689638",194-200 Bourke Street,MELBOURNE,3000
131-137 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,56,144.96851480934998,-37.810927165145536,"-37.810927165145536, 144.96851480934998",131-137 Lonsdale Street,MELBOURNE,3000
