postcode,offence_division,offence_subdivision,offence_subgroup,offence_count
3113,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,2
3113,B Property and deception offences,B40 Theft,B49 Other theft,18
3114,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,1
3114,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,4
3114,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,14
3114,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,4
3114,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,16
3114,B Property and deception offences,B40 Theft,B49 Other theft,2
3115,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,7
3115,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,13
3115,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3
3115,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,5
3115,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,14
3115,B Property and deception offences,B40 Theft,B49 Other theft,6
3116,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,3
3116,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3116,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,8
3116,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3116,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,30
3116,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,13
3116,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,25
3116,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,109
3116,B Property and deception offences,B40 Theft,B43 Steal from a retail store,184
3116,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,3
3116,B Property and deception offences,B40 Theft,B49 Other theft,78
3121,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,22
3121,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
3121,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,72
3121,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,5
3121,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,252
3121,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,254
3121,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3121,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,225
3121,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,828
3121,B Property and deception offences,B40 Theft,B43 Steal from a retail store,617
3121,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,188
3121,B Property and deception offences,B40 Theft,B49 Other theft,550
3122,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,18
3122,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,4
3122,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,35
3122,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3122,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,1
3122,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,109
3122,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,65
3122,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,122
3122,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,362
3122,B Property and deception offences,B40 Theft,B43 Steal from a retail store,122
3122,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,51
3122,B Property and deception offences,B40 Theft,B49 Other theft,203
3123,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3123,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3123,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,40
3123,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,6
3123,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,85
3123,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,32
3123,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3123,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,75
3123,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,190
3123,B Property and deception offences,B40 Theft,B43 Steal from a retail store,173
3123,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,13
3123,B Property and deception offences,B40 Theft,B49 Other theft,127
3124,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,5
3124,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3
3124,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,71
3124,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4
3124,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,70
3124,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,81
3124,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,100
3124,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,226
3124,B Property and deception offences,B40 Theft,B43 Steal from a retail store,149
3124,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,14
3124,B Property and deception offences,B40 Theft,B49 Other theft,125
3125,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3125,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,14
3125,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,8
3125,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,73
3125,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,40
3125,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3125,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,98
3125,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,223
3125,B Property and deception offences,B40 Theft,B43 Steal from a retail store,23
3125,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,7
3125,B Property and deception offences,B40 Theft,B49 Other theft,102
3126,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,1
3126,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,29
3126,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,35
3126,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,14
3126,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,22
3126,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,49
3126,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,1
3126,B Property and deception offences,B40 Theft,B49 Other theft,26
3127,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,2
3127,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,51
3127,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,61
3127,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,30
3127,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,59
3127,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,224
3127,B Property and deception offences,B40 Theft,B43 Steal from a retail store,17
3127,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,6
3127,B Property and deception offences,B40 Theft,B49 Other theft,54
3128,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3128,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,4
3128,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,23
3128,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4
3128,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,194
3128,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,147
3128,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3128,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,193
3128,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,463
3128,B Property and deception offences,B40 Theft,B43 Steal from a retail store,245
3128,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,39
3128,B Property and deception offences,B40 Theft,B49 Other theft,332
3129,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,5
3129,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,39
3129,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3129,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,70
3129,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,26
3129,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3129,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,65
3129,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,152
3129,B Property and deception offences,B40 Theft,B43 Steal from a retail store,14
3129,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,6
3129,B Property and deception offences,B40 Theft,B49 Other theft,65
3130,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,10
3130,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3130,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,27
3130,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,6
3130,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,114
3130,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,57
3130,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,176
3130,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,474
3130,B Property and deception offences,B40 Theft,B43 Steal from a retail store,108
3130,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,20
3130,B Property and deception offences,B40 Theft,B49 Other theft,162
3131,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,9
3131,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3131,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,25
3131,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3131,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,52
3131,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,89
3131,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,150
3131,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,325
3131,B Property and deception offences,B40 Theft,B43 Steal from a retail store,149
3131,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,10
3131,B Property and deception offences,B40 Theft,B49 Other theft,167
3132,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,12
3132,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,19
3132,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,49
3132,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,46
3132,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3132,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,103
3132,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,292
3132,B Property and deception offences,B40 Theft,B43 Steal from a retail store,59
3132,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,20
3132,B Property and deception offences,B40 Theft,B49 Other theft,74
3133,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,4
3133,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
3133,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,21
3133,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,56
3133,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,32
3133,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,82
3133,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,216
3133,B Property and deception offences,B40 Theft,B43 Steal from a retail store,77
3133,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,6
3133,B Property and deception offences,B40 Theft,B49 Other theft,111
3134,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,27
3134,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,5
3134,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,36
3134,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3134,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,71
3134,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,69
3134,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,182
3134,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,510
3134,B Property and deception offences,B40 Theft,B43 Steal from a retail store,552
3134,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,36
3134,B Property and deception offences,B40 Theft,B49 Other theft,407
3135,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,6
3135,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,27
3135,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3135,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,56
3135,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,34
3135,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,83
3135,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,237
3135,B Property and deception offences,B40 Theft,B43 Steal from a retail store,19
3135,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,3
3135,B Property and deception offences,B40 Theft,B49 Other theft,104
3136,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,15
3136,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3136,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,44
3136,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4
3136,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,88
3136,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,59
3136,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,105
3136,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,350
3136,B Property and deception offences,B40 Theft,B43 Steal from a retail store,108
3136,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,22
3136,B Property and deception offences,B40 Theft,B49 Other theft,206
3137,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,1
3137,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,12
3137,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3137,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,27
3137,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,25
3137,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3137,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,25
3137,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,102
3137,B Property and deception offences,B40 Theft,B43 Steal from a retail store,37
3137,B Property and deception offences,B40 Theft,B49 Other theft,75
3138,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,4
3138,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3138,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,17
3138,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3138,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,34
3138,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,17
3138,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,48
3138,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,120
3138,B Property and deception offences,B40 Theft,B43 Steal from a retail store,27
3138,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,5
3138,B Property and deception offences,B40 Theft,B49 Other theft,77
3139,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,2
3139,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,2
3139,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,23
3139,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,14
3139,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,25
3139,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,45
3139,B Property and deception offences,B40 Theft,B43 Steal from a retail store,17
3139,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,2
3139,B Property and deception offences,B40 Theft,B49 Other theft,41
3140,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,15
3140,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,5
3140,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,11
3140,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3140,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,31
3140,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,35
3140,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,53
3140,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,115
3140,B Property and deception offences,B40 Theft,B43 Steal from a retail store,195
3140,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,5
3140,B Property and deception offences,B40 Theft,B49 Other theft,145
3141,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,28
3141,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,40
3141,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3141,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,254
3141,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,154
3141,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,5
3141,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,161
3141,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,652
3141,B Property and deception offences,B40 Theft,B43 Steal from a retail store,204
3141,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,116
3141,B Property and deception offences,B40 Theft,B49 Other theft,344
3142,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,2
3142,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,45
3142,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,74
3142,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,22
3142,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3142,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,73
3142,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,221
3142,B Property and deception offences,B40 Theft,B43 Steal from a retail store,22
3142,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,23
3142,B Property and deception offences,B40 Theft,B49 Other theft,76
3143,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,6
3143,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,27
3143,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4
3143,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,65
3143,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,49
3143,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,52
3143,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,153
3143,B Property and deception offences,B40 Theft,B43 Steal from a retail store,71
3143,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,17
3143,B Property and deception offences,B40 Theft,B49 Other theft,65
3144,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,6
3144,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3144,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,57
3144,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3144,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,41
3144,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,41
3144,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,70
3144,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,183
3144,B Property and deception offences,B40 Theft,B43 Steal from a retail store,83
3144,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,7
3144,B Property and deception offences,B40 Theft,B49 Other theft,68
3145,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,22
3145,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3
3145,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,81
3145,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4
3145,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,1
3145,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,147
3145,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,80
3145,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,2
3145,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,174
3145,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,555
3145,B Property and deception offences,B40 Theft,B43 Steal from a retail store,452
3145,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,50
3145,B Property and deception offences,B40 Theft,B49 Other theft,288
3146,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,5
3146,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,76
3146,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4
3146,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,82
3146,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,47
3146,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3146,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,132
3146,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,260
3146,B Property and deception offences,B40 Theft,B43 Steal from a retail store,23
3146,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,12
3146,B Property and deception offences,B40 Theft,B49 Other theft,93
3147,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3147,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
3147,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,25
3147,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3
3147,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,72
3147,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,27
3147,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,97
3147,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,295
3147,B Property and deception offences,B40 Theft,B43 Steal from a retail store,55
3147,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,9
3147,B Property and deception offences,B40 Theft,B49 Other theft,90
3148,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3148,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
3148,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,8
3148,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3148,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,47
3148,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,18
3148,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,48
3148,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,182
3148,B Property and deception offences,B40 Theft,B43 Steal from a retail store,114
3148,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,4
3148,B Property and deception offences,B40 Theft,B49 Other theft,57
3149,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,24
3149,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3149,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,44
3149,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3149,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,133
3149,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,87
3149,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,170
3149,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,521
3149,B Property and deception offences,B40 Theft,B43 Steal from a retail store,43
3149,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,12
3149,B Property and deception offences,B40 Theft,B49 Other theft,210
3150,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,24
3150,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
3150,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,67
3150,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,6
3150,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,295
3150,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,75
3150,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,233
3150,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,696
3150,B Property and deception offences,B40 Theft,B43 Steal from a retail store,245
3150,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,44
3150,B Property and deception offences,B40 Theft,B49 Other theft,398
3151,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,6
3151,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,11
3151,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3151,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,43
3151,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,34
3151,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,69
3151,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,214
3151,B Property and deception offences,B40 Theft,B43 Steal from a retail store,86
3151,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,8
3151,B Property and deception offences,B40 Theft,B49 Other theft,73
3152,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,26
3152,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,4
3152,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,35
3152,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,8
3152,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,92
3152,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,90
3152,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,158
3152,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,391
3152,B Property and deception offences,B40 Theft,B43 Steal from a retail store,425
3152,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,24
3152,B Property and deception offences,B40 Theft,B49 Other theft,244
3153,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,14
