postcode,area_km2,light_count,lights_per_km2
3000,2.4813915938929987,13440,5416.32
3002,1.8556412409106204,15231,8207.94
3004,4.042038840271373,2934,725.87
3006,1.854411944764598,5777,3115.27
3008,3.147608186564524,29027,9221.92
3031,5.016343088142162,6032,1202.47
3052,4.064455830908102,16779,4128.23
3053,1.7485101122625757,11154,6379.15
3054,2.304114662156832,3660,1588.46
3141,3.5473787891550552,2003,564.64
